quiver exchange matrix,mutation acyclic,mutation abundant,mutation complete,mutation connected,mutation equivalent to a quiver with a mutation-cyclic 3-vertex subquiver,mutation finite,finite forkless part,finite preforkless part,surface quiver,mutation equivalent to a quiver with a vortex subquiver,totally proper,Alexander polynomial,number of vertices,determinant of exchange matrix,gcd vector,rank of exchange matrix,determinant of companion modulo 4,mutation cycle in class,minimum number of arrows in class,class index
[0 -14 -10 10 14 0 3 -2 10 -3 0 1 -10 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -14 10 -10 14 0 -2 3 -10 2 0 -1 10 -3 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -12 -2 34 12 0 1 -3 2 -1 0 2 -34 3 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -12 14 20 12 0 -1 -2 -14 1 0 1 -20 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -12 20 14 12 0 -2 -1 -20 2 0 -1 -14 1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -12 34 -2 12 0 -3 1 -34 3 0 -2 2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -10 -14 10 10 0 -3 1 14 3 0 -2 -10 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -10 -10 6 10 0 -1 -1 10 1 0 -2 -6 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -10 -10 6 10 0 1 -2 10 -1 0 -1 -6 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -10 6 -10 10 0 -2 1 -6 2 0 1 10 -1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -10 6 -10 10 0 -1 -1 -6 1 0 2 10 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -10 10 -14 10 0 1 -3 -10 -1 0 2 14 3 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -6 -4 2 6 0 -1 -2 4 1 0 -1 -2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -6 -2 4 6 0 -3 1 2 3 0 -1 -4 -1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -6 2 -4 6 0 -2 -1 -2 2 0 1 4 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -6 2 2 6 0 -2 3 -2 2 0 -1 -2 -3 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -6 2 2 6 0 3 -2 -2 -3 0 1 -2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 -6 4 -2 6 0 1 -3 -4 -1 0 1 2 3 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
